2021-09-20 14:48:15:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_12.txt
2021-09-20 14:49:33:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-20 14:49:33:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-20 14:49:33:[Kivy        ] v2.0.0
2021-09-20 14:49:33:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-20 14:49:33:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-20 14:49:33:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-20 14:49:33:[KivyMD      ] v0.104.1
2021-09-20 14:49:33:[Factory     ] 186 symbols loaded
2021-09-20 14:49:33:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-20 14:49:33:[Window      ] Provider: sdl2
2021-09-20 14:49:33:[Window      ] Activate GLES2/ANGLE context
2021-09-20 14:49:33:[GL          ] Using the "OpenGL" graphics system
2021-09-20 14:49:33:[GL          ] Backend used <angle_sdl2>
2021-09-20 14:49:33:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:49:33:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-20 14:49:33:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-20 14:49:33:[GL          ] OpenGL parsed version: 3, 0
2021-09-20 14:49:33:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:49:33:[GL          ] Texture max size <16384>
2021-09-20 14:49:33:[GL          ] Texture max units <16>
2021-09-20 14:49:34:[Window      ] auto add sdl2 input provider
2021-09-20 14:49:34:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-20 14:49:34:[Text        ] Provider: sdl2
2021-09-20 14:49:34:[GL          ] NPOT texture support is available
2021-09-20 14:49:34:[GL          ] Unpack subimage support is available
2021-09-20 14:49:35:[Base        ] Start application main loop
2021-09-20 14:50:53:[Custom-scanPath ] C:\Users\Sankar_Senthil\Downloads
2021-09-20 14:51:24:antivirus_encryptor Method call received.
2021-09-20 14:51:24:Source File Removed Successfully.
2021-09-20 14:51:24:antivirus_encryptor Method call received.
2021-09-20 14:51:24:Source File Removed Successfully.
2021-09-20 14:51:25:antivirus_encryptor Method call received.
2021-09-20 14:51:25:Source File Removed Successfully.
2021-09-20 14:51:26:antivirus_encryptor Method call received.
2021-09-20 14:51:26:Source File Removed Successfully.
2021-09-20 14:51:26:antivirus_encryptor Method call received.
2021-09-20 14:51:26:Source File Removed Successfully.
2021-09-20 14:52:55:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_67.txt
2021-09-20 14:52:55:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-20 14:52:55:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-20 14:52:55:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-20 14:52:55:[Kivy        ] v2.0.0
2021-09-20 14:52:55:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-20 14:52:55:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-20 14:52:55:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-20 14:52:55:[KivyMD      ] v0.104.1
2021-09-20 14:52:55:[Factory     ] 186 symbols loaded
2021-09-20 14:52:55:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-20 14:52:55:[Window      ] Provider: sdl2
2021-09-20 14:52:55:[Window      ] Activate GLES2/ANGLE context
2021-09-20 14:52:55:[GL          ] Using the "OpenGL" graphics system
2021-09-20 14:52:55:[GL          ] Backend used <angle_sdl2>
2021-09-20 14:52:55:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:52:55:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-20 14:52:55:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-20 14:52:55:[GL          ] OpenGL parsed version: 3, 0
2021-09-20 14:52:55:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:52:55:[GL          ] Texture max size <16384>
2021-09-20 14:52:55:[GL          ] Texture max units <16>
2021-09-20 14:52:55:[Window      ] auto add sdl2 input provider
2021-09-20 14:52:55:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-20 14:52:55:[Text        ] Provider: sdl2
2021-09-20 14:52:55:[GL          ] NPOT texture support is available
2021-09-20 14:52:56:[GL          ] Unpack subimage support is available
2021-09-20 14:52:57:[Base        ] Start application main loop
2021-09-20 14:53:05:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_0.txt
2021-09-20 14:53:05:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-20 14:53:05:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-20 14:53:05:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-20 14:53:05:[Kivy        ] v2.0.0
2021-09-20 14:53:05:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-20 14:53:05:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-20 14:53:05:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-20 14:53:05:[KivyMD      ] v0.104.1
2021-09-20 14:53:05:[Factory     ] 186 symbols loaded
2021-09-20 14:53:05:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-20 14:53:05:[Window      ] Provider: sdl2
2021-09-20 14:53:05:[Window      ] Activate GLES2/ANGLE context
2021-09-20 14:53:05:[GL          ] Using the "OpenGL" graphics system
2021-09-20 14:53:05:[GL          ] Backend used <angle_sdl2>
2021-09-20 14:53:05:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:53:05:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-20 14:53:05:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-20 14:53:05:[GL          ] OpenGL parsed version: 3, 0
2021-09-20 14:53:05:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:53:05:[GL          ] Texture max size <16384>
2021-09-20 14:53:05:[GL          ] Texture max units <16>
2021-09-20 14:53:05:[Window      ] auto add sdl2 input provider
2021-09-20 14:53:05:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-20 14:53:05:[Text        ] Provider: sdl2
2021-09-20 14:53:05:[GL          ] NPOT texture support is available
2021-09-20 14:53:06:[GL          ] Unpack subimage support is available
2021-09-20 14:53:07:[Base        ] Start application main loop
2021-09-20 14:53:33:[Custom-scanPath ] D:\Dima_Antivirus\DimaAV_TotalSecurity\WINDOWS-BUILD\DIMA_Antivirus_Setup\DIMA_Antivirus_Setup\DIMA_Total_Security_Setup.x64 (64bit).exe
2021-09-20 14:54:05:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-20_1.txt
2021-09-20 14:54:05:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-20 14:54:05:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-20 14:54:05:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-20 14:54:05:[Kivy        ] v2.0.0
2021-09-20 14:54:05:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-20 14:54:05:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-20 14:54:05:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-20 14:54:05:[KivyMD      ] v0.104.1
2021-09-20 14:54:05:[Factory     ] 186 symbols loaded
2021-09-20 14:54:05:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-20 14:54:06:[Window      ] Provider: sdl2
2021-09-20 14:54:06:[Window      ] Activate GLES2/ANGLE context
2021-09-20 14:54:06:[GL          ] Using the "OpenGL" graphics system
2021-09-20 14:54:06:[GL          ] Backend used <angle_sdl2>
2021-09-20 14:54:06:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:54:06:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-20 14:54:06:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-20 14:54:06:[GL          ] OpenGL parsed version: 3, 0
2021-09-20 14:54:06:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-20 14:54:06:[GL          ] Texture max size <16384>
2021-09-20 14:54:06:[GL          ] Texture max units <16>
2021-09-20 14:54:06:[Window      ] auto add sdl2 input provider
2021-09-20 14:54:06:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-20 14:54:06:[Text        ] Provider: sdl2
2021-09-20 14:54:06:[GL          ] NPOT texture support is available
2021-09-20 14:54:06:[GL          ] Unpack subimage support is available
2021-09-20 14:54:08:[Base        ] Start application main loop
2021-09-20 14:54:16:[Custom-scanPath ] D:\Dima_Antivirus\DimaAV_TotalSecurity\WINDOWS-BUILD\DIMA_Antivirus_Setup\DIMA_Antivirus_Setup\DIMA_Total_Security_Setup.x64 (64bit).exe
2021-09-29 10:17:22:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_10.txt
2021-09-29 10:17:22:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 10:17:22:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 10:17:22:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 10:17:22:[Kivy        ] v2.0.0
2021-09-29 10:17:22:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 10:17:22:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 10:17:22:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 10:17:22:[KivyMD      ] v0.104.1
2021-09-29 10:17:22:[Factory     ] 186 symbols loaded
2021-09-29 10:17:22:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 10:17:22:[Window      ] Provider: sdl2
2021-09-29 10:17:22:[Window      ] Activate GLES2/ANGLE context
2021-09-29 10:17:23:[GL          ] Using the "OpenGL" graphics system
2021-09-29 10:17:23:[GL          ] Backend used <angle_sdl2>
2021-09-29 10:17:23:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:17:23:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 10:17:23:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 10:17:23:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 10:17:23:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:17:23:[GL          ] Texture max size <16384>
2021-09-29 10:17:23:[GL          ] Texture max units <16>
2021-09-29 10:17:23:[Window      ] auto add sdl2 input provider
2021-09-29 10:17:23:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 10:17:23:[Text        ] Provider: sdl2
2021-09-29 10:17:23:[GL          ] NPOT texture support is available
2021-09-29 10:17:23:[GL          ] Unpack subimage support is available
2021-09-29 10:17:25:[Base        ] Start application main loop
2021-09-29 10:17:35:Full-Scan Process Started !!
2021-09-29 10:17:35:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 10:18:58:Internet-Connection Error
2021-09-29 10:19:33:Internet-Connection Error
2021-09-29 10:20:01:Internet-Connection Error
2021-09-29 10:21:09:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_0.txt
2021-09-29 10:21:09:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 10:21:09:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 10:21:09:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 10:21:09:[Kivy        ] v2.0.0
2021-09-29 10:21:09:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 10:21:09:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 10:21:09:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 10:21:09:[KivyMD      ] v0.104.1
2021-09-29 10:21:09:[Factory     ] 186 symbols loaded
2021-09-29 10:21:09:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 10:21:10:[Window      ] Provider: sdl2
2021-09-29 10:21:10:[Window      ] Activate GLES2/ANGLE context
2021-09-29 10:21:10:[GL          ] Using the "OpenGL" graphics system
2021-09-29 10:21:10:[GL          ] Backend used <angle_sdl2>
2021-09-29 10:21:10:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:21:10:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 10:21:10:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 10:21:10:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 10:21:10:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:21:10:[GL          ] Texture max size <16384>
2021-09-29 10:21:10:[GL          ] Texture max units <16>
2021-09-29 10:21:10:[Window      ] auto add sdl2 input provider
2021-09-29 10:21:10:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 10:21:10:[Text        ] Provider: sdl2
2021-09-29 10:21:10:[GL          ] NPOT texture support is available
2021-09-29 10:21:10:[GL          ] Unpack subimage support is available
2021-09-29 10:21:12:[Base        ] Start application main loop
2021-09-29 10:21:14:Full-Scan Process Started !!
2021-09-29 10:21:14:[Act_Drivers ] ['C:/', 'D:/']
2021-09-29 10:21:52:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_1.txt
2021-09-29 10:21:52:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 10:21:52:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 10:21:52:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 10:21:52:[Kivy        ] v2.0.0
2021-09-29 10:21:52:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 10:21:52:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 10:21:52:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 10:21:52:[Logger      ] Purge log fired. Analysing...
2021-09-29 10:21:52:[Logger      ] Purge finished!
2021-09-29 10:21:52:[KivyMD      ] v0.104.1
2021-09-29 10:21:52:[Factory     ] 186 symbols loaded
2021-09-29 10:21:52:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 10:21:52:[Window      ] Provider: sdl2
2021-09-29 10:21:52:[Window      ] Activate GLES2/ANGLE context
2021-09-29 10:21:52:[GL          ] Using the "OpenGL" graphics system
2021-09-29 10:21:52:[GL          ] Backend used <angle_sdl2>
2021-09-29 10:21:52:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:21:52:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 10:21:52:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 10:21:52:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 10:21:52:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:21:52:[GL          ] Texture max size <16384>
2021-09-29 10:21:52:[GL          ] Texture max units <16>
2021-09-29 10:21:53:[Window      ] auto add sdl2 input provider
2021-09-29 10:21:53:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 10:21:53:[Text        ] Provider: sdl2
2021-09-29 10:21:53:[GL          ] NPOT texture support is available
2021-09-29 10:21:53:[GL          ] Unpack subimage support is available
2021-09-29 10:21:54:[Base        ] Start application main loop
2021-09-29 10:22:28:[Clipboard   ] Provider: winctypes
2021-09-29 10:29:59:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_11.txt
2021-09-29 10:29:59:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 10:29:59:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 10:29:59:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 10:29:59:[Kivy        ] v2.0.0
2021-09-29 10:29:59:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 10:29:59:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 10:29:59:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 10:29:59:[KivyMD      ] v0.104.1
2021-09-29 10:29:59:[Factory     ] 186 symbols loaded
2021-09-29 10:29:59:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 10:29:59:[Window      ] Provider: sdl2
2021-09-29 10:29:59:[Window      ] Activate GLES2/ANGLE context
2021-09-29 10:29:59:[GL          ] Using the "OpenGL" graphics system
2021-09-29 10:29:59:[GL          ] Backend used <angle_sdl2>
2021-09-29 10:29:59:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:29:59:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 10:29:59:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 10:29:59:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 10:29:59:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:29:59:[GL          ] Texture max size <16384>
2021-09-29 10:29:59:[GL          ] Texture max units <16>
2021-09-29 10:29:59:[Window      ] auto add sdl2 input provider
2021-09-29 10:29:59:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 10:29:59:[Text        ] Provider: sdl2
2021-09-29 10:29:59:[GL          ] NPOT texture support is available
2021-09-29 10:30:00:[GL          ] Unpack subimage support is available
2021-09-29 10:30:01:[Base        ] Start application main loop
2021-09-29 10:30:25:[Clipboard   ] Provider: winctypes
2021-09-29 10:32:20:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_12.txt
2021-09-29 10:32:20:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 10:32:20:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 10:32:20:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 10:32:20:[Kivy        ] v2.0.0
2021-09-29 10:32:20:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 10:32:20:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 10:32:20:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 10:32:20:[KivyMD      ] v0.104.1
2021-09-29 10:32:20:[Factory     ] 186 symbols loaded
2021-09-29 10:32:21:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
2021-09-29 10:32:21:[Window      ] Provider: sdl2
2021-09-29 10:32:21:[Window      ] Activate GLES2/ANGLE context
2021-09-29 10:32:21:[GL          ] Using the "OpenGL" graphics system
2021-09-29 10:32:21:[GL          ] Backend used <angle_sdl2>
2021-09-29 10:32:21:[GL          ] OpenGL version <b'OpenGL ES 3.0.0 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:32:21:[GL          ] OpenGL vendor <b'Google Inc.'>
2021-09-29 10:32:21:[GL          ] OpenGL renderer <b'ANGLE (AMD Radeon(TM) Vega 8 Graphics Direct3D11 vs_5_0 ps_5_0)'>
2021-09-29 10:32:21:[GL          ] OpenGL parsed version: 3, 0
2021-09-29 10:32:21:[GL          ] Shading version <b'OpenGL ES GLSL ES 3.00 (ANGLE 2.1.13739 git hash: 385fb40fd460)'>
2021-09-29 10:32:21:[GL          ] Texture max size <16384>
2021-09-29 10:32:21:[GL          ] Texture max units <16>
2021-09-29 10:32:21:[Window      ] auto add sdl2 input provider
2021-09-29 10:32:21:[Window      ] virtual keyboard not allowed, single mode, not docked
2021-09-29 10:32:21:[Text        ] Provider: sdl2
2021-09-29 10:32:21:[GL          ] NPOT texture support is available
2021-09-29 10:32:22:[GL          ] Unpack subimage support is available
2021-09-29 10:32:23:[Base        ] Start application main loop
2021-09-29 10:32:34:[Logger      ] Record log in C:\Users\Sankar_Senthil\.kivy\logs\kivy_21-09-29_13.txt
2021-09-29 10:32:34:[deps        ] Successfully imported "kivy_deps.angle" 0.3.0
2021-09-29 10:32:34:[deps        ] Successfully imported "kivy_deps.glew" 0.3.0
2021-09-29 10:32:34:[deps        ] Successfully imported "kivy_deps.sdl2" 0.3.1
2021-09-29 10:32:34:[Kivy        ] v2.0.0
2021-09-29 10:32:34:[Kivy        ] Installed at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\lib\site-packages\kivy\__init__.py"
2021-09-29 10:32:34:[Python      ] v3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
2021-09-29 10:32:34:[Python      ] Interpreter at "C:\Users\Sankar_Senthil\AppData\Local\Programs\Python\Python37\python.exe"
2021-09-29 10:32:34:[KivyMD      ] v0.104.1
2021-09-29 10:32:34:[Factory     ] 186 symbols loaded
2021-09-29 10:32:34:[Image       ] Providers: img_tex, img_dds, img_sdl2, img_pil (img_ffpyplayer ignored)
